(-0.0441312,0)
(0.0673366,0)
(-0.84418,0)
(0.612296,0)
(-0.479557,0)
(0.537658,0)
(0.205123,0)
(0.512128,0)
(-0.00838851,0)
(-0.371741,0)
(-0.419066,0)
(0.28222,0)
(-0.00822186,0)
(0.679727,0)
(0.0391819,0)
(-0.535702,0)
(0.222844,0)
(0.69929,0)
(-0.622057,0)
(-0.861704,0)
(-0.325806,0)
(-0.172492,0)
(-0.796039,0)
(-0.937934,0)
(0.107225,0)
(-0.893084,0)
(0.373656,0)
(-0.864844,0)
(0.548982,0)
(-0.670022,0)
(0.361749,0)
(0.929277,0)
(0.486991,0)
(0.633249,0)
(0.812601,0)
(-0.198026,0)
(-0.157059,0)
(-0.66628,0)
(-0.257934,0)
(0.447708,0)
(0.137474,0)
(-0.789132,0)
(0.657234,0)
(-0.826626,0)
(-0.889383,0)
(-0.0533115,0)
(0.476367,0)
(0.63738,0)
(-0.603222,0)
(0.488202,0)
(0.35051,0)
(0.317105,0)
(0.894535,0)
(0.141457,0)
(0.106961,0)
(0.229434,0)
(0.202947,0)
(0.196485,0)
(0.939598,0)
(0.469548,0)
(0.644973,0)
(-0.796192,0)
(0.106499,0)
(-0.384712,0)
(0.256838,0)
(-0.953419,0)
(0.970973,0)
(0.897484,0)
(-0.151226,0)
(-0.196343,0)
(-0.299958,0)
(-0.634967,0)
(0.199954,0)
(-0.358998,0)
(-0.970962,0)
(0.141481,0)
(-0.847077,0)
(-0.648487,0)
(0.829258,0)
(-0.115429,0)
(0.0646016,0)
(0.974795,0)
(-0.581067,0)
(0.327081,0)
(-0.0509188,0)
(0.87181,0)
(-0.940002,0)
(-0.704878,0)
(-0.663679,0)
(0.615883,0)
(-0.217338,0)
(0.973,0)
(-0.65665,0)
(0.0744245,0)
(0.903156,0)
(-0.235222,0)
(-0.587092,0)
(0.420177,0)
(-0.630808,0)
(-0.33293,0)
(-0.759787,0)
(-0.389091,0)
(-0.552987,0)
(0.385459,0)
(0.293269,0)
(-0.947835,0)
(-0.382309,0)
(-0.587087,0)
(-0.959778,0)
(-0.856225,0)
(-0.836511,0)
(-0.56529,0)
(0.601593,0)
(-0.426878,0)
(0.497251,0)
(-0.58777,0)
(-0.0491009,0)
(0.617911,0)
(-0.0041972,0)
(-0.956829,0)
(-0.606432,0)
(0.778421,0)
(-0.326618,0)
(0.559745,0)
(-0.447928,0)
(-0.0701705,0)
(0.53915,0)
(0.0823952,0)
(-0.184379,0)
(-0.912914,0)
(-0.0594661,0)
(0.767343,0)
(0.573159,0)
(0.259293,0)
(0.318826,0)
(-0.780547,0)
(-0.87039,0)
(-0.465806,0)
(-0.238305,0)
(0.788754,0)
(-0.135982,0)
(-0.461868,0)
(0.96243,0)
(-0.0452233,0)
(-0.954948,0)
(-0.814747,0)
(-0.149898,0)
(-0.655111,0)
(-0.981334,0)
(0.455215,0)
(0.0713314,0)
(0.960164,0)
(-0.37169,0)
(-0.185522,0)
(-0.275836,0)
(-0.235279,0)
(-0.185416,0)
(-0.709984,0)
(0.981453,0)
(-0.450444,0)
(-0.0509146,0)
(0.0303216,0)
(0.832465,0)
(-0.220955,0)
(-0.807276,0)
(-0.100972,0)
(0.76407,0)
(0.388047,0)
(-0.777096,0)
(0.262675,0)
(0.255457,0)
(-0.526784,0)
(0.11043,0)
(0.21346,0)
(-0.514738,0)
(0.595428,0)
(0.954716,0)
(0.826722,0)
(-0.767915,0)
(-0.877255,0)
(0.787232,0)
(0.98599,0)
(-0.162127,0)
(0.252124,0)
(0.488534,0)
(0.196422,0)
(0.101664,0)
(-0.165358,0)
(-0.577571,0)
(0.213338,0)
(-0.507364,0)
(-0.338648,0)
(-0.452963,0)
(-0.260261,0)
(0.00457451,0)
(-0.157767,0)
(-0.838173,0)
(0.904514,0)
(-0.505847,0)
(-0.769034,0)
(-0.0789406,0)
(0.72868,0)
(0.870857,0)
(-0.748974,0)
(0.225444,0)
(0.125875,0)
(0.0707251,0)
(0.657297,0)
(-0.590414,0)
(0.0118219,0)
(0.352396,0)
(0.558284,0)
(0.552419,0)
(-0.809925,0)
(-0.619313,0)
(-0.66617,0)
(-0.189051,0)
(0.966165,0)
(-0.880327,0)
(0.245638,0)
(0.515327,0)
(0.00871338,0)
(0.0396376,0)
(0.901554,0)
(-0.157757,0)
(0.227665,0)
(-0.395389,0)
(0.658839,0)
(0.705284,0)
(0.765131,0)
(-0.66285,0)
(0.749577,0)
(0.158069,0)
(0.642619,0)
(-0.553333,0)
(-0.979776,0)
(0.975632,0)
(0.593754,0)
(-0.228911,0)
(0.407289,0)
(-0.0853792,0)
(-0.279492,0)
(0.8835,0)
(0.663922,0)
(0.997828,0)
(0.398276,0)
